,scene_name,camera_name,frame_id,included_in_public_release,exclude_reason,split_partition_name
0,ai_001_001,cam_00,0,True,,train
1,ai_001_001,cam_00,1,True,,train
2,ai_001_001,cam_00,2,True,,train
3,ai_001_001,cam_00,3,True,,train
4,ai_001_001,cam_00,4,True,,train
5,ai_001_001,cam_00,5,True,,train
6,ai_001_001,cam_00,6,True,,train
7,ai_001_001,cam_00,7,True,,train
8,ai_001_001,cam_00,8,True,,train
9,ai_001_001,cam_00,9,True,,train
10,ai_001_001,cam_00,10,True,,train
11,ai_001_001,cam_00,11,True,,train
12,ai_001_001,cam_00,12,True,,train
13,ai_001_001,cam_00,13,True,,train
14,ai_001_001,cam_00,14,True,,train
15,ai_001_001,cam_00,15,True,,train
16,ai_001_001,cam_00,16,True,,train
17,ai_001_001,cam_00,17,True,,train
18,ai_001_001,cam_00,18,True,,train
19,ai_001_001,cam_00,19,True,,train
20,ai_001_001,cam_00,20,True,,train
21,ai_001_001,cam_00,21,True,,train
22,ai_001_001,cam_00,22,True,,train
23,ai_001_001,cam_00,23,True,,train
24,ai_001_001,cam_00,24,True,,train
25,ai_001_001,cam_00,25,True,,train
26,ai_001_001,cam_00,26,True,,train
27,ai_001_001,cam_00,27,True,,train
28,ai_001_001,cam_00,28,True,,train
29,ai_001_001,cam_00,29,True,,train
30,ai_001_001,cam_00,30,True,,train
31,ai_001_001,cam_00,31,True,,train
32,ai_001_001,cam_00,32,True,,train
33,ai_001_001,cam_00,33,True,,train
34,ai_001_001,cam_00,34,True,,train
35,ai_001_001,cam_00,35,True,,train
37,ai_001_001,cam_00,37,True,,train
38,ai_001_001,cam_00,38,True,,train
39,ai_001_001,cam_00,39,True,,train
40,ai_001_001,cam_00,40,True,,train
41,ai_001_001,cam_00,41,True,,train
42,ai_001_001,cam_00,42,True,,train
43,ai_001_001,cam_00,43,True,,train
44,ai_001_001,cam_00,44,True,,train
45,ai_001_001,cam_00,45,True,,train
46,ai_001_001,cam_00,46,True,,train
47,ai_001_001,cam_00,47,True,,train
48,ai_001_001,cam_00,48,True,,train
49,ai_001_001,cam_00,49,True,,train
50,ai_001_001,cam_00,50,True,,train
51,ai_001_001,cam_00,51,True,,train
52,ai_001_001,cam_00,52,True,,train
53,ai_001_001,cam_00,53,True,,train
54,ai_001_001,cam_00,54,True,,train
55,ai_001_001,cam_00,55,True,,train
56,ai_001_001,cam_00,56,True,,train
57,ai_001_001,cam_00,57,True,,train
58,ai_001_001,cam_00,58,True,,train
59,ai_001_001,cam_00,59,True,,train
60,ai_001_001,cam_00,60,True,,train
62,ai_001_001,cam_00,62,True,,train
63,ai_001_001,cam_00,63,True,,train
64,ai_001_001,cam_00,64,True,,train
65,ai_001_001,cam_00,65,True,,train
66,ai_001_001,cam_00,66,True,,train
67,ai_001_001,cam_00,67,True,,train
68,ai_001_001,cam_00,68,True,,train
69,ai_001_001,cam_00,69,True,,train
70,ai_001_001,cam_00,70,True,,train
71,ai_001_001,cam_00,71,True,,train
72,ai_001_001,cam_00,72,True,,train
73,ai_001_001,cam_00,73,True,,train
74,ai_001_001,cam_00,74,True,,train
75,ai_001_001,cam_00,75,True,,train
76,ai_001_001,cam_00,76,True,,train
77,ai_001_001,cam_00,77,True,,train
78,ai_001_001,cam_00,78,True,,train
79,ai_001_001,cam_00,79,True,,train
80,ai_001_001,cam_00,80,True,,train
81,ai_001_001,cam_00,81,True,,train
82,ai_001_001,cam_00,82,True,,train
83,ai_001_001,cam_00,83,True,,train
84,ai_001_001,cam_00,84,True,,train
85,ai_001_001,cam_00,85,True,,train
86,ai_001_001,cam_00,86,True,,train
87,ai_001_001,cam_00,87,True,,train
88,ai_001_001,cam_00,88,True,,train
89,ai_001_001,cam_00,89,True,,train
90,ai_001_001,cam_00,90,True,,train
91,ai_001_001,cam_00,91,True,,train
